Year,FUEL OIL (M.LITRES),DIESEL OIL (M.LITRES),PALM OIL (M.LITRES),NATURAL  GAS (MMSCFD),LIGNITE (TON)
1986,866,8,,257,4685127
1987,575,5,,396,5726917
1988,831,5,,473,5895752
1989,1195,17,,484,6764206
1990,2532,163,,473,9875324
1991,3164,62,,606,11724691
1992,3719,71,,640,12370539
1993,4322,288,,725,11490328
1994,4789,474,,820,12155884
1995,5258,756,,838,13567494
1996,5068,1320,,929,16405340
1997,4665,729,,1170,18010806
1998,4253,306,,1205,15388095
1999,3762,135,,1206,13893584
2000,2364,29,,1301,14120569
2001,647,75,,1504,15744116
2002,499,41,,1632,15035329
2003,605,23,,1624,15406532
2004,1296,55,,1675,16536694
2005,1851,49,,1740,16571091
2006,1895,21,,1766,15815374
2007,780,8,,1715,15811050
2008,249,8,,1558,16407465
2009,111,13,,1541,15818265
2010,140,12,,1879,16004196
2011,314,11,,1591,17161168
2012,319,19,,1789,16754281
2013,317,60,,1692,16884947
2014,379,21,,1657,17020425
2015,192,29,,1659,14483502
2016,74,37,,1439,16405949
2017,20,43,0.0,1161,15898285
2018,8,25,0.0,1144,14169492
2019,14,28,257.0,1141,13670634
2020,29,20,144.0,1189,13232906
2021,98,59,5.0,1102,14244883
2022,26,312,0.0,1110,13658811
2023,3,172,0.0,1065,12743121
2024,11,48,0.0,1018,12735435
