Year,11 Agriculture and hunting,12 Forestry and wood making,13 Fisheries,21 Coal mining,22 The production of raw petroleum and natural gas,23 Metal mining,29 Other mining,"31 Food production, beverages and tobacco",32 Production of textiles,33 wood production and wood products,34 Paper production and printing,"35 Production of petroleum, coal, rubber and plastic",36 Manufacture of products from metal meticals,37 Basic metal industry,38 Metal product productionMachinery and equipment,"39 Utsa, other manufacturers",41 Electricity and Gas,42 Waterworks,50 Construction,61 Wholesale,62 Retail,63 Pratara and hotel,71 Transportation and storage locations,72 Transportation,81 Financial Institution,82 Insurance,83 Real estate and business services,91 Government Services and Defense,92 Sanitation Services,93 Social Services and Community Services,94 Recreation and Cultural Services,95 Personal services and household services,96 International Organization,00 Activities that cannot be specific
2002,1005,5,364,2,34,91,623,7935,7229,1284,1731,7786,5849,4393,9054,544,657,859,601,1122,4794,4356,1091,642,700,83,1817,1248,166,2856,603,369,57,775
2003,1167,6,454,2,50,80,625,8661,7678,1325,1853,8222,5704,5165,9851,567,737,889,768,1214,5240,4499,1185,655,731,88,1960,1310,183,3056,627,384,57,898
2004,1189,9,493,2,44,110,678,8953,7861,1493,2000,8982,6296,6152,11066,594,799,935,826,1304,5492,4797,1376,678,750,97,2119,1356,200,3207,673,396,56,1153
2005,1320,10,666,1,42,110,691,9303,7777,1522,2133,9340,7000,6456,12054,614,833,987,957,1328,5768,4965,1455,704,768,99,2233,1352,237,3342,698,400,56,1387
2006,1449,12,815,1,51,124,693,10053,7922,1612,2251,9505,7111,6545,12981,668,1099,1063,1016,1398,6205,5352,1491,759,797,98,2363,1413,301,3517,725,405,57,1513
2007,1525,13,889,2,41,148,742,10489,7719,1637,2228,9884,7055,7140,13710,819,892,1161,1084,1454,6709,5679,1425,818,844,101,2450,1512,298,3725,746,403,59,1564
2008,1679,16,965,6,54,143,714,10518,7478,1529,2166,9953,6623,6927,13927,761,1059,1236,1145,1545,7099,5950,1470,826,870,101,2546,1552,297,3841,731,395,58,1732
2009,1822,16,1057,3,147,164,732,11037,6930,1499,2081,9605,6113,5677,12484,717,1013,1226,908,1517,7272,6176,1493,831,884,100,2588,1612,242,4065,758,389,59,1989
2010,2063,45,1257,7,217,157,798,11667,7620,1741,2182,10737,6286,6742,14633,830,1215,1327,890,1730,7657,6727,1614,857,915,104,2819,1791,281,4388,748,406,61,2868
2011,2107,26,1400,8,318,123,835,12157,7123,1784,2216,10132,6486,6627,15283,849,1375,1339,908,1899,7951,6770,1701,919,888,102,2864,1739,325,4332,813,393,57,2318
2012,2410,27,1538,6,298,166,929,13359,6910,1790,2487,10742,6873,6954,16018,916,1924,1437,679,2242,8812,7509,1872,909,950,110,3182,1952,321,4853,845,428,61,2895
2013,2289,29,1158,7,332,63,1029,13416,6909,1884,2438,10916,6813,7065,16679,949,1512,1515,640,2277,9148,7838,1969,907,935,107,3270,2424,349,5264,888,451,58,2729
2014,2478,32,1190,8,301,61,1065,14078,6922,1914,2397,10875,6726,7252,17104,991,1622,1589,688,2411,9501,7999,2104,924,924,109,3298,2465,328,5400,911,473,58,2763
2015,2654,35,1109,10,236,66,1066,14394,6788,1946,2559,11243,6892,6647,17484,1042,1760,1667,752,2606,9955,8602,2266,967,934,108,3381,2617,337,5790,930,511,59,2682
2016,2737,40,1198,12,222,61,1088,14996,6703,2039,2526,11973,6712,7176,17888,1108,1921,1729,730,2819,10416,9192,2443,1027,941,112,3424,2728,377,6056,952,541,61,2881
2017,2877,46,1195,11,228,63,956,15374,6360,2278,2394,12153,6461,7861,18268,1164,1582,1700,754,2912,10533,9343,2557,1020,915,109,3389,2725,419,6012,931,560,61,3150
2018,3020,45,1143,13,203,70,965,15136,5699,2270,2294,12130,6205,7913,18232,1236,1485,1767,927,2980,10805,9706,2715,1041,907,108,3456,2717,413,6145,884,572,57,3161
2019,3284,44,1113,11,196,75,975,15296,5199,2225,2334,12252,5740,7131,17207,1298,1552,1945,873,3080,11209,10494,2870,1114,897,108,3530,2906,362,6431,794,618,51,3417
2020,3345,43,1069,12,171,75,960,15160,4249,2259,2199,11855,5584,6493,15755,1301,1404,1942,821,2852,9955,8221,2773,1140,838,102,3105,2872,405,6006,655,524,44,2923
2021,3397,47,1071,11,170,81,1017,15438,4339,2429,2360,12487,5747,7610,17435,1072,1346,1971,758,2931,9366,7367,2871,1142,757,91,2883,2791,429,5578,580,508,40,2913
2022,3349,53,1064,11,184,83,1043,15677,4451,2357,2699,12859,6049,7764,17350,1126,2083,1923,789,3166,10102,9154,3077,1124,792,93,3080,2871,461,6267,655,588,41,3208
2023,3757,57,1031,13,188,78,1087,15608,3874,2447,2420,12381,5445,7125,16875,1267,1908,1996,794,3291,10635,10799,3235,1107,798,96,3284,3033,414,6876,681,638,43,3482
2024,4143,60,981,11,208,86,1144,16334,3798,2474,2264,12752,5030,7152,17068,1517,1729,2094,697,4120,11308,12437,3473,1132,853,93,3450,3268,427,7222,666,781,43,2453
