Year,111 Agricultural and livestock production,112 Agricultural Services,113 Animal hunting and hunting animal species,121 Forestry,122 Wood making,130 Fisheries,210 Coal mining,220 Raw petroleum and natural gas production,230 Metal mining,290 Other mining,311 Food production,312 Food products that are not classified elsewhere,313 Beverage Industry,314 Tobacco production,321 The production of textile knitting,322 Costume productionExcept shoes,"323 Animal skin productionAnd products from artificial animal leather and fur, except shoesAnd costumes",324 Shoes production except shoes made of rubberOr hard plastic or compression,331 saw a sawmill and other wooden plants,332 Furniture productionDecorationAnd flooringExcept for most metal,341 Paper and paper products,"342 Printing, printing, advertising and related industries",351 Chemical production for industrial work,352 Production of other chemical products,353 Petroleum refinery,354 Production of other productsFrom petroleum and coal,355 rubber product production,356 Plastic product productionWhich is not classified elsewhere,361 Pottery production,362 Glass production and glass products,363 Fire Glass production,369 The production of other metal products,371 Base steel and steel industry,372 Embassy industry for non -iron metal,381 Manufacture of metal products except machinery and equipment,382 Machinery production except electrical appliances,"383 Manufacture of machinery, tools and appliances",384 Transportation equipment production,385 Manufacture of measurement equipment and controlFor professional work and scienceWhich is not classified as,390 Other manufacturing industry,410 Electric and Gas,420 Waterworks,501 Construction,502 Specific contractor,611 Wholesale of many products,612 Agricultural raw materials except food,"613 Food, beverages and tobacco","614, textile products, knittingCostumeAnd animal skin products",615 home decoration machinesAnd household appliances,616 Construction Materials,"617 Machinery, machinery and tools",618 Transport equipment,619 Miscellaneous wholesalers,621 stores or general stores,"622 Food stores, beverages and tobacco",623 Textile ShopCostumeAnd leather products,624 furniture shopHome decorationAnd household appliances,625 paper shopsPaper making productsBooks and beverages,626 pharmacies and cosmetics,627 Construction Materials DistributorAnd metal machine shops,628 Transport equipment distributorsAnd gasoline service stations,629 Miscellaneous Shop,"631 Restaurants, coffee shops, food and other beverages","632 Hotels, dormitory, camps and other residences",711 Land Transport,712 Water Transport,713 Air Transport,719 Transportation services,720 Transportation,810 Financial Institution,820 Insurance,831 Real Estate Services,832 Business service except for machinery and equipment rental,833 Machinery and equipment rental services,910 Central Government Administration,920 Sanitation Services and similar services,931 Education Services,932 Research and Science Institute,"933 Medical services, other dentistry and animal treatment services",934 Institute for Welfare (Welfare),935 Private Business InstituteCareer Association and the Association of Directors,936 Shrine of the Jay Foundation,939 Social Services and other related community services,941 Movie and other servants,"942 Library, Archives, Museums, Botanical Gardens, Zoo and Cultural Services, which are not classified in",949 Entertainment and Recreation ServicesWhich is not classified elsewhere,951 Repairing services that are not classified elsewhere,"952 laundry shops, laundry services, laundry and fabric dyeing",953 House services,959 Other personal services,000 Activities that cannot be specific
2002,771,234,0,3,2,364,2,34,91,623,4443,2947,491,55,6292,564,180,192,919,365,1393,338,2361,593,78,40,1874,2840,526,748,11,4565,3680,713,1698,795,4498,1626,437,544,657,859,568,33,528,14,102,52,62,72,62,98,132,2544,1142,91,85,29,34,77,632,160,533,3823,183,97,374,437,642,700,83,1602,214,2,1248,166,1268,101,1355,25,22,27,59,261,49,293,130,27,2,211,775
2003,900,267,0,3,3,454,2,50,80,625,4872,3188,545,56,6692,581,196,210,939,385,1489,364,2507,619,83,40,1989,2984,578,812,12,4303,4397,768,1825,873,4768,1903,483,567,737,889,723,45,550,16,116,67,67,75,69,106,148,2824,1240,93,94,30,35,87,668,169,539,3960,200,107,383,495,655,731,88,1723,235,2,1310,183,1349,114,1446,27,26,30,65,267,49,311,138,29,2,216,898
2004,901,287,0,3,6,493,2,44,110,678,5120,3204,569,59,6815,612,213,222,1074,419,1606,395,2886,659,90,43,2123,3182,624,894,16,4761,5370,783,2046,1002,5236,2243,539,594,799,935,765,60,537,18,154,58,72,79,77,141,168,2941,1310,94,113,30,36,99,689,181,554,4243,305,116,404,552,678,750,97,1863,254,2,1356,200,1416,118,1510,27,31,36,70,274,53,345,144,30,2,220,1153
2005,1036,284,0,2,8,666,1,42,110,691,5299,3357,588,59,6713,621,212,232,1121,401,1723,411,2980,684,92,44,2248,3291,653,984,16,5346,5670,786,2128,1100,5551,2707,568,614,833,987,884,73,535,17,153,33,78,85,79,175,172,3130,1368,93,126,30,36,102,684,200,559,4406,316,118,408,614,704,768,99,1969,261,3,1352,237,1467,132,1571,28,31,38,76,281,57,361,146,32,2,221,1387
2006,1169,280,0,3,10,815,1,51,124,693,5882,3488,628,54,6833,638,215,235,1200,413,1823,429,2868,759,105,48,2341,3384,544,1023,20,5523,5786,759,2244,1200,6004,2914,619,668,1099,1063,954,62,533,19,158,43,83,85,82,213,181,3453,1439,93,129,30,37,124,688,213,574,4779,318,124,375,674,759,797,98,2061,300,2,1413,301,1552,137,1639,37,30,38,84,282,63,379,150,35,1,220,1513
2007,1225,299,0,3,10,889,2,41,148,742,6164,3613,653,60,6657,616,220,226,1250,387,1768,461,2888,803,119,53,2480,3541,503,1054,22,5475,6288,852,2314,1266,6320,3132,677,819,892,1161,1024,60,526,25,157,42,87,99,88,241,189,3786,1530,92,130,32,36,136,746,221,574,5105,321,143,239,722,818,844,101,2130,318,2,1512,298,1665,154,1714,32,30,40,90,283,71,393,150,37,2,214,1564
2008,1355,324,0,3,12,965,6,54,143,714,6257,3543,661,57,6440,596,241,200,1173,356,1685,481,2777,785,126,49,2516,3699,552,1091,23,4957,6019,908,2404,1374,6148,3309,692,761,1059,1236,1084,61,533,31,178,40,90,95,92,278,208,4042,1585,90,138,33,36,140,809,226,562,5388,321,149,235,765,826,870,101,2226,317,3,1552,297,1706,155,1781,32,31,40,96,276,70,385,146,38,3,210,1732
2009,1430,389,4,3,14,1057,3,147,164,732,6561,3761,655,60,5991,538,221,181,1190,309,1606,475,2607,795,129,49,2420,3605,635,997,22,4459,4859,817,2183,1087,5701,2816,698,717,1013,1226,852,56,511,40,209,39,89,103,93,242,191,4135,1651,88,134,32,36,128,839,228,551,5625,352,154,219,768,831,884,100,2267,318,3,1612,242,1831,154,1862,32,31,49,107,278,68,412,142,37,4,205,1989
2010,1615,421,26,2,43,1257,7,217,157,798,6717,4120,754,75,6568,579,298,175,1407,334,1666,516,2850,893,129,63,2657,4145,641,1080,21,4543,5822,921,2537,1490,6071,3810,724,830,1215,1327,810,80,593,43,221,35,93,106,106,301,232,4316,1738,92,140,34,38,137,901,262,546,6181,374,160,224,856,857,915,104,2467,350,3,1791,281,1963,149,2047,37,36,38,120,289,71,388,148,39,4,214,2868
2011,1683,383,40,3,24,1400,8,318,123,835,7267,4047,781,63,6182,506,227,207,1456,328,1694,522,2049,916,135,90,2779,4164,703,1113,34,4637,5760,867,2566,1363,6719,3892,743,849,1375,1339,838,70,637,46,304,35,93,105,106,327,247,4506,1779,89,141,32,37,145,924,300,516,6254,403,174,215,909,919,888,102,2507,355,3,1739,325,1928,150,2025,41,34,49,105,287,74,452,141,41,4,207,2318
