Year,EGAT,IPP,SPP,Imported,Total,EGAT (%),IPP (%),SPP (%),Imported (%),Total
2001,15000,4926,1768,340,22034,68,22,8,2,100
2002,15000,7071,1768,640,24479,61,29,7,3,100
2003,14431,8000,1912,640,24983,58,32,8,3,100
2004,15422,8000,1994,640,26056,59,31,8,2,100
2005,15795,8000,2016,640,26450,60,30,8,2,100
2006,15795,8610,2062,640,27106,58,32,8,2,100
2007,15794,10017,2079,640,28530,55,35,7,2,100
2008,15021,12152,2079,640,29892,50,41,7,2,100
2009,14328,12152,2092,640,29212,49,42,7,2,100
2010,14998,12152,2182,1588,30920,49,39,7,5,100
2011,14998,12082,2182,2185,31447,48,38,7,7,100
2012,14996,12714,2608,2282,32600,46,39,8,7,100
2013,15010,12742,3525,2405,33681,45,38,10,7,100
2014,15482,13167,3615,2404,34668,45,38,10,7,100
2015,15518,14767,5144,3386,38815,40,38,13,9,100
2016,16385,14949,6345,3878,41556,39,36,15,9,100
2017,16071,14949,7536,3878,42433,38,35,18,9,100
2018,15790,14949,8757,3878,43374,36,34,20,9,100
2019,15130,14949,9498,5720,45297,33,33,21,13,100
2020,16037,14248,9474,5721,45480,35,31,21,13,100
2021,16082,15499,9381,5721,46682,34,33,20,12,100
2022,16920,16749,9195,6235,49098,34,34,19,13,100
2023,16237,17648,9483,6235,49603,33,36,19,13,100
2024,16261,19598,9320,6235,51414,32,38,18,12,100
