Year,HYDRO,FUEL OIL,LIGNITE,NATURAL GAS,DIESEL,GEO THERMAL,EGAT NRE*,IMPORTED,DEDP,SPP,IPP,VSPP,TOTAL
1986,5531.7,3334.88,5541.28,10251.71,10.24,,,758.38,,,,,25428.19
1987,4056.23,2188.38,6698.01,15623.66,2.41,,,415.45,4.92,,,,28989.06
1988,3718.17,3142.03,6799.5,18719.88,3.47,,,429.78,30.19,,,,32843.02
1989,5512.21,4738.83,7869.57,19194.75,16.45,,,643.15,21.57,,,,37996.53
1990,4900.11,10012.63,11052.85,17765.06,356.85,1.01,0.02,652.32,23.98,,,,44764.83
1991,4505.35,12636.39,13785.22,19051.19,112.57,1.0,0.02,593.11,28.65,,,,50713.5
1992,4158.94,14928.92,14815.05,22943.04,161.34,1.12,0.02,479.9,19.71,,,,57508.05
1993,3612.5,17494.52,13503.75,27953.16,743.97,1.14,0.03,644.52,28.26,,,,63981.85
1994,4403.6,19647.18,14130.91,30920.18,1385.18,0.9,0.04,870.82,36.52,13.3,564.63,,71973.25
1995,6593.01,21711.89,15152.25,25377.38,2261.18,1.05,0.04,699.12,26.0,261.65,8352.74,,80436.33
1996,7215.0,20983.73,17507.17,24722.17,4572.36,1.19,0.17,805.61,26.17,1232.93,10730.73,,87797.24
1997,7082.0,19266.11,18924.58,28613.71,2440.68,1.28,0.22,745.63,27.19,2150.9,14154.62,,93406.91
1998,5088.82,17534.1,16475.24,32702.16,988.97,1.3,0.24,1622.71,14.61,3191.85,13535.73,,91155.72
1999,3409.67,15429.25,15418.91,32851.18,457.33,1.49,0.24,2255.66,34.49,8353.15,14259.57,,92470.95
2000,5891.44,9611.42,15852.17,35642.22,107.95,1.65,0.33,2966.25,25.64,10175.54,18212.92,,98487.52
2001,6174.35,2419.96,17722.36,34786.99,248.06,1.5,0.46,2881.71,31.08,11644.29,27958.14,,103868.9
2002,7366.94,1969.39,16651.86,35251.6,150.98,1.44,0.31,2812.18,31.71,12548.25,34469.23,,111253.87
2003,7207.76,2434.28,16856.16,31694.4,75.3,1.61,0.24,2473.41,32.29,13303.23,44332.77,,118411.44
2004,5896.29,5467.67,17993.55,30901.1,232.95,1.26,0.87,3377.85,25.5,13440.6,50172.86,,127510.51
2005,5671.18,7640.0,18334.5,33064.85,176.85,1.45,0.81,4371.89,17.4,13546.61,51972.65,,134798.2
2006,7950.05,7808.44,18027.68,33962.67,76.92,1.72,0.85,5151.85,44.79,13530.95,55362.65,,141918.57
2007,7961.36,2966.57,18497.68,36501.69,28.24,1.84,0.81,4488.36,21.7,14439.45,62118.21,,147025.89
2008,6950.69,990.08,18679.3,37260.98,23.28,1.3,0.7,2783.57,28.77,14036.43,67465.82,,148220.93
2009,6965.74,448.23,17922.09,41761.02,45.07,1.41,1.86,2451.41,24.04,13896.54,64840.71,,148358.11
2010,5346.75,558.31,17987.63,50802.5,41.59,1.64,5.65,7253.78,23.64,13870.81,67775.99,1160.51,164828.81
2011,7934.92,1294.89,18835.63,45863.42,35.98,1.82,6.22,10774.41,33.69,14936.2,62625.97,1746.78,164089.92
2012,8431.22,1299.96,18802.01,52568.77,62.76,0.87,2.87,10527.43,,15134.22,70143.04,2510.47,179483.61
2013,5412.08,1238.45,19097.98,50202.11,179.14,1.25,4.37,12571.79,,22602.71,66088.61,3806.97,181205.45
2014,5163.57,1580.52,19370.82,50825.92,62.6,1.43,4.84,12259.71,,25957.59,65718.06,5078.84,186023.89
2015,3760.73,771.51,16932.3,51494.54,125.7,1.35,3.98,14414.49,,28219.43,70799.54,5722.86,192246.41
2016,3543.08,296.49,19059.43,47963.63,173.69,1.39,5.01,19825.36,,33337.46,67893.74,7554.6,199653.87
2017,4687.19,105.19,18897.78,39939.96,197.78,1.55,11.05,24427.42,,39992.02,63635.91,9269.68,201165.53
2018,7597.01,35.8,17698.44,38872.32,111.77,1.49,9.31,26669.44,,48683.67,54285.41,10463.35,204428.0
2019,6309.96,986.63,17894.88,39825.38,137.22,1.25,62.83,25546.66,,54628.92,55152.12,11510.6,212056.43
2020,4539.85,624.08,18238.54,42906.68,97.48,1.1,81.9,29550.57,,53466.87,45268.68,11247.51,206023.25
2021,4539.99,421.94,19526.79,39028.48,294.44,1.45,79.16,33356.29,,52975.12,47708.82,11784.29,209716.77
2022,6598.82,105.46,18748.42,37542.89,1626.2,1.49,149.53,35471.76,,50961.66,52695.43,11936.19,215837.84
2023,6588.21,10.94,17460.24,45617.0,876.98,1.28,158.02,32805.15,,52674.86,54919.57,12170.99,223283.26
2024,6414.79,39.4,17229.03,45626.19,236.98,1.24,206.88,35985.04,,53229.94,64586.32,11956.6,235512.42
