Year,Power Generation,Transport,Industry,Other,Total
1987,16491.59,18092.01,8492.31,6766.42,49842.33
1988,18380.02,21047.11,9419.31,7363.67,56210.11
1989,20770.8,25202.41,11802.9,8144.52,65920.63
1990,28149.07,28354.45,14459.96,8838.44,79801.92
1991,34750.07,28978.1,16062.16,8965.54,88755.86
1992,37798.5,30912.47,18775.35,9475.73,96962.06
1993,40966.51,36534.39,23091.99,8789.36,109382.26
1994,45558.75,40938.53,26929.08,9449.77,122876.13
1995,49014.06,48210.82,31030.69,9436.12,137691.69
1996,56887.37,52710.65,35211.03,10744.08,155553.12
1997,61241.89,55235.12,33717.82,10862.72,161057.55
1998,58012.24,46770.82,27774.28,12894.2,145451.54
1999,59694.81,46916.55,29487.0,13783.16,149881.52
2000,62436.9,45582.33,29310.33,13502.41,150831.98
2001,62758.81,46556.9,30383.82,13845.68,153545.21
2002,65268.65,49259.3,34407.0,14623.12,163558.07
2003,67894.97,53030.32,35528.1,15600.42,172053.81
2004,74119.42,56564.42,40357.38,16376.99,187418.21
2005,76915.47,57548.72,42628.82,15481.88,192574.88
2006,81056.94,54860.58,41087.76,16228.71,193233.99
2007,83893.15,55574.78,44181.07,17019.17,200668.17
2008,84534.17,52550.94,48831.03,17442.67,203358.81
2009,83063.5,56397.79,50897.01,17912.2,208270.49
2010,90883.44,57481.73,53482.24,18779.03,220626.44
2011,87001.67,59241.46,58351.4,19883.61,224478.14
2012,95087.81,61098.22,63507.23,21427.21,241120.47
2013,96355.07,58300.76,67904.0,19805.52,242365.35
2014,99053.77,55511.08,76727.8,19194.1,250486.75
2015,97539.13,61281.66,77272.08,18769.14,254862.01
2016,98403.94,66230.34,77977.7,16079.64,258691.62
2017,94675.96,73633.23,75165.6,14995.55,258470.35
2018,93917.56,75167.4,78446.76,15902.14,263433.86
2019,94529.81,76459.9,70380.77,15967.92,257338.41
2020,90991.16,75890.79,69544.93,13471.47,249898.35
2021,90854.82,71378.17,71462.63,13109.96,246805.58
2022,88889.91,81518.04,65605.34,13701.91,249715.2
