Year,Oil,Coal/Lignite,Natural Gas,Total,GROWTH  RATE Oil (%),GROWTH RATE Coal/Lignite (%),GROWTH RATE Natural Gas (%),GROWTH RATE Total (%)
1987,5457.13,2940.06,95.12,8492.31,10.14,42.98,-53.84,17.67
1988,5678.62,3593.41,147.28,9419.31,4.06,22.22,54.84,10.92
1989,6783.29,4815.13,204.48,11802.9,19.45,34.0,38.83,25.31
1990,7931.7,6156.96,371.3,14459.96,16.93,27.87,81.58,22.51
1991,8650.89,6895.66,515.6,16062.16,9.07,12.0,38.87,11.08
1992,10399.4,7661.0,714.95,18775.35,20.21,11.1,38.66,16.89
1993,11256.36,10965.75,869.88,23091.99,8.24,43.14,21.67,22.99
1994,11969.64,13817.45,1141.99,26929.08,6.34,26.01,31.28,16.62
1995,13511.77,15970.12,1548.79,31030.69,12.88,15.58,35.62,15.23
1996,14275.6,19271.22,1664.22,35211.03,5.65,20.67,7.45,13.47
1997,12912.8,18755.92,2049.11,33717.82,-9.55,-2.67,23.13,-4.24
1998,11714.63,14108.19,1951.46,27774.28,-9.28,-24.78,-4.77,-17.63
1999,11901.69,14970.86,2614.44,29487.0,1.6,6.11,33.97,6.17
2000,12671.99,12778.98,3859.36,29310.33,6.47,-14.64,47.62,-0.6
2001,12384.72,14235.65,3763.45,30383.82,-2.27,11.4,-2.49,3.66
2002,12916.73,17266.39,4223.88,34407.0,4.3,21.29,12.23,13.24
2003,12923.07,17982.04,4622.98,35528.1,0.05,4.14,9.45,3.26
2004,13277.22,21726.21,5353.95,40357.38,2.74,20.82,15.81,13.59
2005,11437.85,25566.74,5624.22,42628.82,-13.85,17.68,5.05,5.63
2006,10089.04,24590.48,6408.24,41087.76,-11.79,-3.82,13.94,-3.62
2007,9568.27,26732.23,7880.58,44181.07,-5.16,8.71,22.98,7.53
2008,8915.39,30577.49,9338.16,48831.03,-6.82,14.38,18.5,10.52
2009,7996.09,31645.22,11255.69,50897.01,-10.31,3.49,20.53,4.23
2010,7526.28,31957.72,13998.24,53482.24,-5.88,0.99,24.37,5.08
2011,8922.86,32425.8,17002.74,58351.4,18.55,1.46,21.46,9.1
2012,12544.91,31660.91,19301.41,63507.23,19.0,-2.36,13.52,5.53
2013,18614.08,29263.46,20026.46,67904.0,16.81,-7.57,3.76,0.18
2014,22101.31,34023.14,20603.35,76727.8,18.73,16.26,2.88,12.99
2015,20946.41,36034.59,20291.08,77272.08,-5.23,5.91,-1.52,0.71
2016,22192.84,35067.04,20717.81,77977.7,5.95,-2.69,2.1,0.91
2017,17450.64,37166.1,20548.87,75165.6,-21.37,5.99,-0.82,-3.61
2018,15805.86,41784.15,20856.75,78446.76,-9.43,12.43,1.5,4.37
2019,15044.77,35093.5,20242.5,70380.77,-4.45,-16.01,-2.95,-10.21
2020,11851.76,39352.21,18340.96,69544.93,-21.22,12.14,-9.39,-1.19
2021,11136.3,41575.49,18750.84,71462.63,-6.04,5.65,2.23,2.76
2022,12373.28,33553.55,19678.51,65605.34,11.11,-19.29,4.95,-8.2
2023,11329.86,28520.51,19055.91,58906.28,-8.43,-15.0,-3.16,-10.21
2024,11407.92,28297.56,16551.68,56257.16,0.69,-0.78,-13.14,-4.5
