Year,Agriculture,"Agriculture, Forestry and Fishing",Non -agriculture,Industrial,Mining and Quarrying,Manufacturing,"Electricity, Gas, Steam and Air Conditioning Supply","Water Supply;Sewerab, Waste Management and Remediation Activities",Services,Construction,Wholesale and Retail Trade and Repair of Motor Vehicles and Motorcycle,Transportation and Storage,Accamodation and Food Service Activities,Information and Communication,Financial and Insurance Activities,Real Estate Activities,"Professional, Scientific and Technical Activities",Administrative and Support Service Activities,Public Administration and Defence;Compulsory Social Security,Education,Human Health and Social Work Activities,"Arts, Entertainment and Recreation",Other Service Activities,Total GDP
1995,1578,1578,1961731,292305,0,259268,23586,9157,1667467,178880,472012,181927,124137,45981,364143,34855,57728,36870,69505,34086,28166,19349,77742,1963319
1996,1262,1262,2017129,302711,0,267223,25309,9898,1712433,171645,474632,198904,123882,49806,359444,38401,61115,40464,75295,35475,33146,22455,80750,2018418
1997,1293,1293,1839142,282392,0,246264,25740,10281,1555220,119970,448407,195476,120796,53172,256211,41892,61482,37568,80762,37151,32955,22184,78219,1840461
1998,1241,1241,1664614,303313,0,266655,25360,11027,1361251,82265,397319,190354,120039,53659,134471,50271,56161,32279,87610,41933,32824,19083,69211,1665879
1999,1189,1189,1709313,314312,0,279819,23543,10788,1394983,61744,405244,215346,117480,63369,116774,59425,61151,37064,91511,42419,33866,18579,69719,1710516
2000,1344,1344,1830964,333183,0,293623,27857,11897,1497706,48896,414191,223636,123182,76491,137449,61607,87052,48129,112259,43665,35013,17908,67808,1832319
2001,1585,1585,1928800,339499,0,300018,26137,13298,1589290,50382,433361,234927,129090,94513,152272,61785,83283,57784,120207,44319,39167,17582,70441,1930392
2002,1880,1880,2003001,328910,0,288137,27749,13024,1674091,44883,433239,260991,129606,102556,176247,69073,90323,71568,119820,44922,41511,17347,72004,2004881
2003,1657,1657,2106849,343990,0,304269,26380,13342,1762858,42846,450021,263394,131529,109995,202751,74058,101708,80440,124811,44641,41884,20841,73938,2108506
2004,1548,1548,2254846,360032,0,318127,27867,14046,1895021,47403,478187,276004,134709,137029,214376,78383,113619,92163,124424,50711,43870,22974,81697,2256393
2005,1535,1535,2370412,366437,0,324791,27446,14240,2004621,55267,504226,289263,141102,157699,221996,77969,123900,98099,128459,50666,45143,28974,84495,2371938
2006,1541,1541,2439982,369161,0,326258,29051,13967,2071786,59363,527612,264100,151223,191524,210127,79199,128583,104171,159495,43311,46912,29984,85738,2441511
2007,1635,1635,2499184,402737,0,359847,28741,13744,2095813,59181,563396,200504,152514,212972,213238,80044,137288,89666,197757,43110,49068,28163,82993,2500811
2008,1676,1676,2503911,375320,0,331935,29270,14362,2129394,58332,563562,201492,164159,230352,213783,82908,134519,87664,213570,43264,46989,28172,79213,2505583
2009,1651,1651,2468242,362466,0,318103,31107,14400,2106944,54148,546849,199965,159870,228622,238637,70693,116983,80852,224241,47164,45049,27499,72927,2469889
2010,1660,1660,2594508,360085,0,314060,32684,14977,2237009,61662,598280,211997,164887,241382,247029,78617,129856,83955,222516,48809,49016,33199,76811,2596144
2011,1577,1577,2721475,380195,0,334185,31801,15145,2343703,60227,609778,214999,190816,263628,263250,79604,145467,90510,227268,43852,52337,37238,83082,2722999
2012,1547,1547,2911109,404252,0,354639,34586,16333,2509744,54656,662954,227245,225943,285815,301865,82951,170065,109325,189036,40803,54031,45456,89811,2912579
2013,1629,1629,3096544,440142,0,389512,32489,18348,2658293,52926,664720,247039,241221,318845,339022,76707,173750,110558,221772,41761,55714,49451,94899,3098082
2014,1503,1503,3210514,446543,0,394503,32202,20537,2766918,54703,651791,252969,243169,334946,360378,93460,171157,105165,282214,41042,58211,42006,96815,3211833
2015,1477,1477,3354940,444222,0,391999,31801,21397,2915719,70861,688380,253322,269198,367847,390745,95799,167373,106074,288230,43512,59166,44865,98162,3356196
2016,1399,1399,3502508,453398,0,400391,32056,21881,3055176,74013,738248,270215,285371,381641,414282,99067,162748,105375,291277,47679,60762,53414,101391,3503634
2017,1412,1412,3650728,433178,0,383006,27987,23445,3227103,76142,778845,288043,323233,389001,447282,104875,172236,106145,292811,49432,63340,59014,105637,3651844
2018,1338,1338,3837227,451208,0,396552,31153,25434,3396507,75885,837137,303499,349994,418101,463008,105992,177482,108319,290825,63362,64752,66271,109993,3838230
2019,1303,1303,3998410,452516,0,397815,33166,23019,3558524,74388,893559,313870,380583,460107,472236,114374,178845,111006,295187,66108,66564,75425,114061,3999343
2020,1190,1190,3741602,404911,0,355295,30345,20848,3350022,77123,870450,251258,253250,464937,499992,114922,168254,94872,303414,68424,70773,61551,106208,3742439
2021,1183,1183,3729446,402478,0,354058,29166,20526,3340331,81566,868076,254447,227669,496969,511446,117410,159238,87465,305359,66149,74035,63054,100461,3730277
2022,1263,1263,3857444,423915,0,374010,30227,20460,3446569,73859,911073,258355,286110,537841,488801,107496,159365,88055,305909,70374,80249,62672,102431,3858349
2023,1198,1198,4059348,433023,0,379952,34546,19758,3641743,65194,978110,277584,345512,563703,495909,112794,161509,93746,311708,71248,89290,64150,104098,4060144
