Year,Agriculture,"Agriculture, Forestry and Fishing",Non -agriculture,Industrial,Mining and Quarrying,Manufacturing,"Electricity, Gas, Steam and Air Conditioning Supply","Water Supply;Sewerab, Waste Management and Remediation Activities",Services,Construction,Wholesale and Retail Trade and Repair of Motor Vehicles and Motorcycle,Transportation and Storage,Accamodation and Food Service Activities,Information and Communication,Financial and Insurance Activities,Real Estate Activities,"Professional, Scientific and Technical Activities",Administrative and Support Service Activities,Public Administration and Defence;Compulsory Social Security,Education,Human Health and Social Work Activities,"Arts, Entertainment and Recreation",Other Service Activities,Total GDP
1995,7223,7223,79351,54936,24,51870,2830,116,24469,1318,12713,2481,268,327,2216,1428,104,356,1113,1437,586,27,267,86292
1996,7789,7789,85596,58332,24,56146,2109,135,27315,3216,12471,2701,259,365,2744,1608,111,333,1174,1498,723,41,307,93081
1997,8831,8831,90340,61856,18,59454,2310,150,28553,4444,13415,1580,240,398,2514,1868,131,242,1289,1558,785,38,258,98972
1998,9638,9638,77543,51856,15,49564,2153,155,25679,2059,12518,1557,229,379,2153,2204,131,191,1398,1825,815,35,299,87341
1999,9002,9002,77795,53345,50,50970,2216,143,24438,1989,10938,1763,183,389,1497,2611,185,184,1538,1940,874,39,339,86802
2000,9580,9580,78275,54095,54,51325,2511,205,24184,1409,10830,1728,199,403,1505,2720,200,241,1724,1949,891,40,369,87927
2001,10213,10213,77787,52840,49,50075,2531,182,24952,1772,11011,1702,198,521,1568,2687,220,239,1742,1946,894,40,443,88054
2002,9789,9789,90271,63656,62,60567,2615,411,26615,1913,10825,2404,185,669,1638,2981,315,296,2029,1922,941,40,455,100060
2003,11540,11540,117212,87528,91,84314,2670,453,29684,1750,13077,2452,203,857,1629,3189,414,404,2179,2034,905,83,508,128751
2004,10006,10006,135721,102735,95,98977,2981,681,32995,2345,14692,2689,230,1070,1725,3412,505,522,2066,2099,939,177,522,145997
2005,9793,9793,135058,100688,131,96592,3190,729,34317,3288,13320,3198,251,1336,1756,3668,540,651,2418,2214,965,196,548,145107
2006,10806,10806,150223,113635,130,109093,3412,955,36704,3257,14101,4345,257,1419,1928,3956,565,642,2067,2384,970,149,583,161306
2007,11336,11336,170226,131339,129,126693,3710,784,39329,2956,16752,4282,283,1326,1960,4034,525,916,1946,2483,992,62,669,181866
2008,11402,11402,179591,139244,549,133662,4132,844,40911,2553,17361,5142,263,1510,1941,3515,417,760,2577,2480,1090,55,704,191294
2009,11237,11237,156752,117406,207,112331,4019,857,39255,2980,14754,5248,253,1406,2155,3758,160,732,2688,2531,1351,52,633,168520
2010,10369,10369,191243,148275,138,142272,5137,891,43648,4086,16869,6213,359,1554,2120,3457,213,655,2478,2599,1345,67,776,201655
2011,11746,11746,193919,150347,145,143896,5553,942,44262,4465,16791,5806,502,1819,2200,3425,206,620,2510,3048,1393,77,723,206065
2012,11292,11292,257856,207241,157,199871,6313,1055,52708,5369,21239,6516,284,1915,2545,3990,221,903,2767,3518,1491,170,848,268021
2013,11426,11426,239809,190171,195,182971,5899,1166,51155,5401,20140,5856,277,1783,2806,4507,294,936,2443,3513,1534,165,868,250609
2014,11381,11381,237179,188583,220,181269,6062,1119,50184,3990,20603,6298,262,1842,3072,3631,221,914,2109,3630,1589,173,877,247978
2015,10923,10923,230901,180294,220,172625,6270,1231,51535,4447,21173,6174,256,2134,3415,4165,230,858,2022,3259,1571,178,1074,241205
2016,10696,10696,245118,194699,263,186631,6394,1388,52064,4060,22150,5791,250,2483,3671,3759,239,874,2032,3205,1615,232,1100,254902
2017,11554,11554,240741,188691,277,179681,7346,1482,53079,4439,22790,5359,257,2204,3910,3929,275,1016,2126,3221,1687,245,1119,251683
2018,11664,11664,271483,215700,252,205352,8722,1588,57619,4407,26007,5737,277,2398,4089,4207,250,980,2334,3013,1814,269,1182,282186
2019,11437,11437,267629,209449,286,198450,9108,1837,59242,4332,26065,6126,286,2862,4214,4973,322,1163,2361,2934,2036,304,1120,278107
2020,10939,10939,234344,183304,240,172886,8396,1974,51947,3922,21589,4333,252,2921,4323,5253,482,1156,2348,2943,2042,294,950,244649
2021,11313,11313,274184,215950,246,204621,8133,2906,59643,4235,26667,4286,270,2949,5009,6353,917,1125,2401,2994,2163,319,948,284399
2022,11250,11250,296863,239192,258,227490,8305,3063,60376,4149,27157,4297,317,2670,5118,6498,1079,1195,2339,2961,2231,336,968,306690
2023,11348,11348,303929,239512,319,226401,8430,4070,66020,5319,31259,4787,353,2800,5131,5872,1221,1232,2218,2923,2322,318,848,313759
