Year,Agriculture,"Agriculture, Forestry and Fishing",Non -agriculture,Industrial,Mining and Quarrying,Manufacturing,"Electricity, Gas, Steam and Air Conditioning Supply","Water Supply;Sewerab, Waste Management and Remediation Activities",Services,Construction,Wholesale and Retail Trade and Repair of Motor Vehicles and Motorcycle,Transportation and Storage,Accamodation and Food Service Activities,Information and Communication,Financial and Insurance Activities,Real Estate Activities,"Professional, Scientific and Technical Activities",Administrative and Support Service Activities,Public Administration and Defence;Compulsory Social Security,Education,Human Health and Social Work Activities,"Arts, Entertainment and Recreation",Other Service Activities,Total GDP
1995,6897,6897,231425,142768,819,136639,4364,440,89249,9581,37027,7545,10022,1136,7619,2509,340,2206,7806,2370,1993,163,993,237940
1996,7862,7862,256440,161011,1161,153471,5386,529,96003,11322,37712,9429,10121,1305,7906,2771,381,2828,8219,2461,2245,98,1090,263939
1997,8320,8320,255413,158815,1237,150297,6440,549,97152,8293,37446,13003,9770,1364,7263,3057,454,2478,8949,2605,2426,77,1235,263476
1998,8607,8607,223715,131799,902,122779,7577,550,92262,5747,32813,13785,10392,1387,6138,3507,571,1926,9946,3021,2518,69,1153,232308
1999,9005,9005,233244,139892,1113,127068,11185,573,93469,7868,27923,16556,11037,1479,4014,4256,543,2134,10629,3165,2567,78,1198,242242
2000,9673,9673,245604,149283,779,133941,13949,665,96460,8076,28098,17496,11080,1474,4179,4411,401,2687,11423,3207,2724,84,1129,255306
2001,10390,10390,249511,148018,772,129069,17302,754,101560,7647,28903,18576,13065,1935,4582,4352,423,2587,11972,3203,3083,115,1152,259904
2002,11228,11228,270852,165027,879,144993,18160,995,105825,8528,29392,19195,12321,2193,5029,5033,604,2872,12753,3209,3198,143,1355,282080
2003,12486,12486,293647,181687,953,158275,21369,1090,111959,9442,31561,19497,12335,2683,5388,5642,812,3514,12353,3278,3293,310,1850,306132
2004,9671,9671,331764,206080,947,180108,23565,1462,125668,8381,34266,22882,15830,3280,5909,6209,1020,5301,12754,3419,3603,693,2191,341762
2005,10028,10028,374751,240165,1422,211092,25990,1610,135084,9900,38120,19985,16300,3742,6804,6627,1535,8441,13037,3651,3856,810,2390,385117
2006,10823,10823,419720,272844,1726,242170,26549,2019,147444,9308,42337,26522,16660,3983,6705,7537,1953,8288,12934,3805,4392,627,2625,430870
2007,11464,11464,461574,304147,1740,272085,27980,1530,157794,11702,46570,27424,16522,3320,7314,7350,2043,9954,13377,3967,4709,227,2934,473486
2008,11812,11812,479325,318104,1297,285267,28706,1781,161384,11804,44487,28914,16465,3766,7311,9499,2177,9346,15475,3891,4814,303,3110,491614
2009,11644,11644,446436,294420,1535,262562,27615,1859,152217,9581,40062,28491,15564,3347,8032,8410,1592,8917,15638,4004,4734,373,2911,458514
2010,11689,11689,468986,299281,1625,267728,27078,1917,170044,10750,47928,30217,17435,3906,7993,8862,2782,9202,17265,3944,5660,535,3072,481140
2011,12463,12463,474398,298474,2004,265828,28104,1744,176425,10890,47209,29957,20267,2671,8721,10671,3505,11130,17234,4236,5830,703,3199,487445
2012,12035,12035,457575,266697,1995,230588,32109,1999,191842,10367,45297,34013,21715,4689,10154,11384,4546,8947,25095,4692,6539,952,3517,470177
2013,12426,12426,481854,279150,2072,235567,39913,2190,203753,14116,47040,37066,23722,4674,11930,9897,3887,8580,25881,4800,6778,1035,3766,494859
2014,10612,10612,498925,288249,2088,243733,40820,2196,211811,14360,49441,37354,26795,4984,13713,14422,3940,7843,22961,5022,6833,1172,4228,509968
2015,10204,10204,522150,300517,2084,251483,45265,2570,222932,15895,52133,40041,32328,5615,14977,12421,2212,8742,20204,6374,6927,2853,4419,532759
2016,11077,11077,554030,311617,2117,268981,37519,2736,244577,16667,57055,41577,47148,4955,16200,13376,2064,9029,20249,6335,7069,1979,4652,565535
2017,12541,12541,565276,311576,1765,270971,35743,2651,256950,12860,61881,43591,52134,5546,17036,13975,2308,9435,20638,6762,7389,2152,5423,578224
2018,13140,13140,576828,308039,1750,281955,18377,2879,273896,12494,66517,47798,56227,6637,17654,16469,2426,9531,21519,6296,7836,1782,6298,590360
2019,12383,12383,589970,308095,1951,280784,19438,2981,288468,14557,68835,48839,62304,6733,19000,18396,2308,9587,21839,6133,8400,1919,6287,602900
2020,11516,11516,551134,303327,1790,277594,18042,2940,250959,12682,63955,52923,31432,7840,19293,14967,2120,6895,21637,6326,8289,1192,5955,563167
2021,11825,11825,591425,333414,1791,303088,21791,3488,260387,13177,72219,53542,23323,7685,23144,16050,2602,6734,21743,6484,8820,1004,6230,603815
2022,11856,11856,631213,345574,1763,307320,29424,4363,290419,13224,80552,56322,39696,7141,23649,19592,2580,7190,21406,6543,9706,1177,6869,643690
2023,12233,12233,644565,344186,1973,303354,31858,4210,308301,14469,81857,58881,53322,7346,24885,19165,2716,7308,21532,6554,9793,1082,6012,657434
