Year,Agriculture,"Agriculture, Forestry and Fishing",Non -agriculture,Industrial,Mining and Quarrying,Manufacturing,"Electricity, Gas, Steam and Air Conditioning Supply","Water Supply;Sewerab, Waste Management and Remediation Activities",Services,Construction,Wholesale and Retail Trade and Repair of Motor Vehicles and Motorcycle,Transportation and Storage,Accamodation and Food Service Activities,Information and Communication,Financial and Insurance Activities,Real Estate Activities,"Professional, Scientific and Technical Activities",Administrative and Support Service Activities,Public Administration and Defence;Compulsory Social Security,Education,Human Health and Social Work Activities,"Arts, Entertainment and Recreation",Other Service Activities,Total GDP
1995,12247,12247,171044,133605,37015,78861,13130,143,36511,3982,20701,2302,1532,537,3090,1047,107,624,1124,1036,435,40,370,183476
1996,11986,11986,194175,153325,44507,92193,11960,160,40034,4079,21280,3307,1725,645,3335,1149,91,1117,1225,1065,764,61,452,206100
1997,11281,11281,222420,178797,55683,106345,12769,179,43222,2084,24290,4937,1938,676,2906,1309,83,1044,1327,1146,749,57,601,233408
1998,10572,10572,211184,172191,60160,95731,14241,180,38895,1639,22492,3713,1440,647,2438,1415,111,811,1477,1325,768,52,581,221464
1999,11426,11426,205623,170681,66575,89572,14594,172,34850,1691,18528,3892,1380,644,1678,1664,133,820,1494,1410,978,58,444,216877
2000,12328,12328,236024,197189,76262,104372,16466,185,38901,1379,21175,4336,1446,618,1827,1734,156,1309,1975,1419,981,60,451,248162
2001,12040,12040,237928,200059,77234,106620,16048,206,37959,1238,21437,3670,1270,804,1899,1732,196,1163,1840,1399,813,60,434,249811
2002,12622,12622,277053,236267,83975,135663,16118,512,40787,1787,23393,3337,1119,897,2061,1939,207,1253,2064,1399,898,60,373,289675
2003,13476,13476,290807,247943,96969,133745,16622,607,42864,2335,23655,3426,1153,1109,2186,2115,290,1490,2168,1440,943,115,440,304283
2004,12788,12788,315137,266562,98358,148227,18993,822,48693,2552,25725,5778,1347,1147,2441,2259,346,1595,2333,1477,1025,203,570,327925
2005,12053,12053,340326,286565,111030,151521,22340,781,53988,3264,26146,8143,1466,1208,2944,2413,445,1999,2524,1589,1140,232,639,352294
2006,12693,12693,358626,302836,125897,150822,23395,1033,55917,3525,27597,7855,1480,1340,2978,2619,401,1820,2708,1722,1145,188,725,371230
2007,13835,13835,379875,318606,128310,160050,27899,793,61917,3496,32737,8390,1433,1256,3202,2918,431,1768,2489,1848,1177,92,720,393590
2008,14910,14910,373692,311691,139824,142878,27472,875,63174,3588,32017,7611,1428,1449,3071,3409,517,1959,4303,1918,1264,82,835,388456
2009,14032,14032,386773,325424,137171,157591,29137,901,61674,4148,29717,7104,1489,1330,3516,3397,541,1669,4478,2019,1472,78,958,400749
2010,14646,14646,434617,364421,142985,190622,29694,949,70714,4705,35965,8655,1685,1363,3323,3181,550,2483,4085,2160,1496,102,940,449112
2011,15480,15480,418641,347998,142116,170611,35210,1013,71783,3852,36055,9382,1910,1139,3683,3633,619,2339,4218,2062,1540,209,1139,434212
2012,13562,13562,441191,370803,156381,177835,35580,1131,70450,3208,32674,9986,2217,1608,4566,3803,694,1922,4768,2032,1768,285,1287,454137
2013,12426,12426,457642,384148,157084,193566,32937,1302,73710,4517,34869,9734,2272,1626,5040,3540,791,1930,4371,2051,1582,276,1290,469372
2014,12317,12317,449647,374391,153843,186174,34157,1217,76455,3915,35080,9616,2231,1716,6235,4830,852,2135,4492,2120,1910,358,1534,461274
2015,10442,10442,467624,388377,155486,198445,35048,1337,80806,5474,37261,9231,2446,2098,6600,5326,894,2438,4288,1950,1936,221,1589,477569
2016,10347,10347,483381,400827,158683,204391,39129,1497,84282,5459,39164,9726,2510,2006,6833,5440,903,2779,4482,1883,1996,285,1676,493228
2017,12101,12101,510185,421356,157826,218941,45227,1516,90865,4893,43735,10508,2653,2213,7289,6053,830,3008,4501,1890,2056,359,1688,521844
2018,10868,10868,510908,417089,151871,211479,55439,2050,96623,5264,45295,12230,2869,2603,7567,6435,654,3569,4937,1786,2353,384,1665,521125
2019,11131,11131,508508,412083,152743,203965,56432,4009,99913,5828,46076,12843,3030,2646,8178,7237,886,3342,4603,1770,2449,483,2035,519005
2020,10999,10999,479260,387788,132858,201036,51751,4730,94871,6875,41206,12582,2301,2939,8528,7683,792,2733,4727,1771,2545,379,2001,489764
2021,10224,10224,489838,389429,126515,209699,47437,5357,104223,7232,47048,12906,2435,4057,10187,7946,857,2886,4633,1745,2649,410,1825,499124
2022,11771,11771,470275,365010,103118,209424,43324,5140,110596,7502,51761,12832,2632,3246,10472,9115,896,3014,4711,1772,2999,432,1529,481687
2023,11538,11538,484151,373484,100859,213909,48850,6061,117139,9870,50053,17440,2804,3738,10579,9011,1017,3066,4783,1804,3150,415,1901,495285
