Year,Agriculture,"Agriculture, Forestry and Fishing",Non -agriculture,Industrial,Mining and Quarrying,Manufacturing,"Electricity, Gas, Steam and Air Conditioning Supply","Water Supply;Sewerab, Waste Management and Remediation Activities",Services,Construction,Wholesale and Retail Trade and Repair of Motor Vehicles and Motorcycle,Transportation and Storage,Accamodation and Food Service Activities,Information and Communication,Financial and Insurance Activities,Real Estate Activities,"Professional, Scientific and Technical Activities",Administrative and Support Service Activities,Public Administration and Defence;Compulsory Social Security,Education,Human Health and Social Work Activities,"Arts, Entertainment and Recreation",Other Service Activities,Total GDP
1995,9086,9086,232869,138512,0,127761,9553,1316,94403,1619,58565,5530,1098,1685,6983,2895,674,2395,1318,1686,4950,76,5103,242042
1996,9301,9301,241449,144172,0,133185,9577,1554,97293,4517,57537,5581,1166,1777,9724,3236,794,2348,1409,1797,2433,281,4889,250847
1997,10059,10059,235904,140357,0,129204,9639,1678,95560,2093,54466,8974,1116,1950,8856,3257,718,3194,1444,1877,2329,188,5062,246029
1998,9742,9742,257313,170959,0,160337,8874,1779,86725,2528,51979,5658,1118,1842,7161,3290,707,1795,1655,2031,2243,93,4737,267054
1999,11171,11171,281134,197286,0,187147,8508,1699,84036,2436,48662,5902,1135,1911,5713,3912,921,1984,1809,2101,2370,103,5076,292347
2000,11775,11775,296046,202983,0,194347,6690,1820,93040,3063,51071,10094,1414,1966,6712,4053,936,1796,1706,2124,2664,107,5277,307866
2001,12115,12115,316136,218727,0,207880,8893,1958,97416,2744,55151,8023,1699,2414,7306,3937,1095,2039,2042,2210,3100,106,5541,328257
2002,12942,12942,342458,235512,0,224138,9094,2280,106946,3460,60301,6987,3916,2365,8153,4571,1074,2681,2327,2182,3506,106,5317,355401
2003,11989,11989,346550,234942,0,222513,10224,2205,111608,4153,61289,8718,2684,2344,8377,4962,1011,3928,2449,2362,3395,146,5790,358539
2004,8153,8153,364895,248122,0,234478,11195,2445,116768,5600,64406,7577,1473,2307,9201,5465,1322,3940,2379,2403,3905,163,6543,373446
2005,6733,6733,375001,261186,0,247645,11462,2062,113740,5813,57419,7821,1493,2536,9829,6405,1632,3511,3069,2541,4298,227,7027,382410
2006,5695,5695,401895,259307,0,246783,10795,1643,142071,7740,56526,29839,2126,3171,9469,7840,1806,4284,3522,2647,4561,198,7110,408667
2007,3733,3733,506024,252586,0,240313,10579,1615,252916,9238,58457,121677,5467,3525,9869,8070,4274,11248,3407,2765,4630,204,7361,512084
2008,3422,3422,497556,252821,0,240327,10699,1741,244240,7019,59874,106755,5538,3726,9544,8876,4383,14534,6450,2754,4619,217,7378,503340
2009,3640,3640,449000,220225,0,208722,9755,1845,228406,6225,53029,101413,5664,3326,9702,8120,4512,12061,6634,2836,5569,242,6561,454572
2010,3442,3442,555353,295977,0,282708,11163,1996,259858,6826,63711,116043,6425,3585,9709,8848,4999,14516,6240,2925,6024,286,6969,561490
2011,2702,2702,495760,241331,0,228655,10917,1897,255235,5336,62379,116891,6771,4238,10052,9400,2190,13233,6649,2525,6205,382,6994,500983
2012,2586,2586,572772,285007,0,271268,11520,2111,288477,5918,67932,131251,5620,4870,11330,11523,2519,19175,7950,2427,6494,419,8527,578427
2013,2427,2427,535614,245341,0,232099,11251,2143,291808,8663,64834,135585,6147,5638,12259,12088,2720,17460,6561,2572,6588,446,8291,540909
2014,2258,2258,531877,248241,0,234979,11231,2185,284866,6951,65319,127928,5983,5547,13056,12263,2918,16710,7073,2533,7016,443,8704,537007
2015,1957,1957,543970,242831,0,229724,11051,2231,303475,6480,67339,140748,6843,5551,15073,12702,3837,17184,6554,2349,7017,473,9675,548898
2016,2368,2368,546080,233835,0,219400,12302,2523,315670,7498,67747,150380,6893,4718,16511,14379,4140,16540,5802,2261,7098,577,10479,551400
2017,3311,3311,565087,223436,0,209890,11296,2681,346585,6836,73129,172205,7824,6030,17561,15192,5025,16469,6005,2300,7574,778,10766,571399
2018,3221,3221,609980,252463,0,236808,13418,2582,361383,7817,81050,170634,8467,5750,17729,17402,5238,17096,6958,2139,7958,935,10862,616458
2019,2984,2984,597731,238795,0,222790,13574,2872,363900,7122,79158,171157,9545,7482,18641,19625,6398,17261,6618,2116,7708,1046,9738,603916
2020,3003,3003,497433,224401,0,210222,11595,3225,273769,7460,73756,72734,6573,7675,19736,19739,6528,15827,6788,2079,7942,1192,8447,503086
2021,3216,3216,501439,237958,0,224688,10926,3019,262688,6347,77274,46913,6702,7368,23225,19899,7453,16783,6935,2076,8529,1326,7390,507326
2022,3617,3617,544689,250913,0,237501,10793,3440,293919,8041,77878,81660,7322,7705,23363,20354,8221,17809,6639,2074,6880,1244,6942,551211
2023,3126,3126,559969,242298,0,229256,10480,3353,319924,9635,76561,109179,9110,7955,23623,20882,9590,18756,6229,2042,5420,1179,7807,566036
