Year,Agriculture,"Agriculture, Forestry and Fishing",Non -agriculture,Industrial,Mining and Quarrying,Manufacturing,"Electricity, Gas, Steam and Air Conditioning Supply","Water Supply;Sewerab, Waste Management and Remediation Activities",Services,Construction,Wholesale and Retail Trade and Repair of Motor Vehicles and Motorcycle,Transportation and Storage,Accamodation and Food Service Activities,Information and Communication,Financial and Insurance Activities,Real Estate Activities,"Professional, Scientific and Technical Activities",Administrative and Support Service Activities,Public Administration and Defence;Compulsory Social Security,Education,Human Health and Social Work Activities,"Arts, Entertainment and Recreation",Other Service Activities,Total GDP
1995,411443,411443,4664663,1553166,97313,1332941,100198,18498,3107696,373023,949818,267472,181264,66787,491452,112087,63462,53749,228943,174635,84501,21810,105510,5068875
1996,433209,433209,4929992,1653283,113691,1411429,105996,20751,3272864,402776,971839,291818,183917,72938,504267,126378,68006,61347,244365,181836,92057,25933,108454,5355365
1997,431128,431128,4783072,1681607,120737,1424653,113774,22164,3101378,290871,948037,300517,182265,77546,389521,142095,67916,58608,263796,192931,93403,25489,107171,5207901
1998,434083,434083,4378264,1557853,112663,1306387,114955,23623,2821270,193975,840031,291708,186364,78584,254518,167995,61588,46849,288169,209879,96249,22171,96136,4810329
1999,455032,455032,4577181,1693966,120572,1435147,115664,22682,2883399,175443,846926,315700,190360,90356,205856,200531,67373,53587,305571,209317,101785,23942,97855,5030271
2000,485968,485968,4770637,1761833,126377,1482167,128512,24826,3008848,156966,864384,333648,203589,103584,227310,206587,93946,67126,314189,211450,104762,24652,96908,5254383
2001,500940,500940,4936558,1806532,126561,1511269,141853,26777,3129973,157838,888610,344725,213730,130322,245313,204211,91161,79864,324330,213538,111793,23694,101050,5435356
2002,501502,501502,5268075,1961936,137028,1645197,152774,26937,3306139,166718,905557,373042,216851,141707,276618,230042,97970,96397,340609,214706,119136,23841,102945,5769577
2003,561460,561460,5622907,2150292,149511,1813028,159410,28343,3472615,171651,950106,373315,215205,155593,308500,247748,110110,111455,349903,222762,118751,28955,108561,6184367
2004,555216,555216,6019940,2304208,153475,1948498,171562,30717,3715682,185576,995453,403179,233467,187246,328339,263316,125463,128081,350770,234360,126034,35976,119046,6573323
2005,554878,554878,6298230,2416840,172118,2030364,181359,32002,3881238,204071,1011836,416142,235082,212958,346373,274331,138141,133629,368577,244836,129705,42433,124914,6848590
2006,576655,576655,6617766,2553111,187489,2145309,187419,30476,4064055,206506,1062673,433923,257526,249928,344476,297644,147368,143133,379416,252815,133132,41942,126663,7188814
2007,587653,587653,7001681,2727050,194230,2301307,199785,29866,4272431,214638,1136182,464853,267372,270879,355201,303005,163534,137865,408395,263996,138415,35648,126579,7579538
2008,604889,604889,7113791,2807418,206917,2355860,210304,31319,4302030,203209,1134493,459613,278604,296409,352591,308358,163461,138821,422283,265672,141802,35483,125332,7710337
2009,603412,603412,7061105,2741840,209484,2277686,219682,31814,4317552,210466,1106520,454009,273926,294483,392176,295289,144698,126738,438334,273848,158043,34498,119582,7657088
2010,600651,600651,7652694,3032781,224225,2537475,234716,33833,4615850,228358,1207296,489184,299483,312400,407452,308305,161274,134696,456059,288622,166530,41997,121952,8232394
2011,638482,638482,7667868,2907690,220683,2414078,237736,33374,4766470,218454,1207515,497065,336296,338735,432404,319237,171610,142970,473339,296475,174524,47529,130384,8301559
2012,655754,655754,8268856,3118309,237724,2581223,262121,36152,5158853,235808,1270509,538895,383695,368596,498630,328440,201072,166525,492985,311032,184774,56226,144422,8902823
2013,660363,660363,8512404,3171493,242839,2629743,257166,38765,5351831,235098,1280384,566746,420920,403827,560161,331764,204638,168445,495464,316796,191677,60843,150628,9142076
2014,658462,658462,8610046,3174363,238872,2630604,265071,39831,5448768,229389,1270224,584035,431373,425199,602105,339123,202429,163710,502006,323740,202004,61044,152826,9232088
2015,615883,615883,8972642,3235844,244577,2670311,277959,43420,5754368,268506,1340744,607674,496115,468115,652508,344220,199458,169527,507469,324312,208552,66668,157624,9521425
2016,608752,608752,9320992,3308263,246600,2730588,286157,46682,6032557,289919,1423314,639929,542057,479369,698413,368470,194997,172062,509644,323601,214829,80858,162918,9848501
2017,638105,638105,9704831,3378518,231895,2809907,291274,49777,6348316,281274,1514519,691369,600677,497977,744932,393071,207217,177330,513565,324972,223609,90649,169198,10259940
2018,677009,677009,10097962,3476662,225100,2907210,297762,52717,6645431,287682,1610858,718046,648602,541735,772492,414466,212968,183491,521430,328187,234363,101743,174950,10693202
2019,670375,670375,10339431,3472211,228906,2882602,311538,55683,6894957,292173,1682029,737427,697936,603763,786459,430111,216956,187593,528249,333384,243167,116473,179043,10919339
2020,649197,649197,9687424,3272529,208021,2729755,286663,56076,6440558,295933,1626590,572014,440310,612495,827902,436759,206347,147248,536568,337241,250729,101473,167040,10258695
2021,663775,663775,9831386,3395067,200603,2857173,287437,58621,6462953,302540,1651160,558714,374137,646393,874565,443923,199998,135711,538373,338218,259705,107204,158589,10417926
2022,679845,679845,10086588,3415009,175900,2894788,297219,61067,6701868,295438,1705072,602896,504532,679779,854136,455004,202107,142253,532571,342902,273351,108067,160245,10686771
2023,693717,693717,10289884,3350479,173791,2815917,310030,64134,6982330,293521,1772250,655875,601780,703983,866174,461887,208627,151927,537142,344933,284437,110316,164099,10902397
