Years,Agriculture,Mining,Manufacturing,Construction,Electricity,Transportation,Residential and Commercial,*Residual,Total
1993,380830,84687,1106448,300828,93886,282682,2156463,64797,4341027
1994,406240,92039,1198476,343788,104387,308976,2307964,73690,4688180
1995,411436,97317,1332912,373024,118697,334256,2467241,7223,5068875
1996,433206,113695,1411413,402779,126749,364753,2568277,7833,5355365
1997,431122,120739,1424641,290873,135938,378064,2471160,44636,5207901
1998,434076,112666,1306372,193977,138581,370289,2270140,15773,4810328
1999,455024,120571,1435133,175444,138348,406058,2303219,3526,5030271
2000,485962,126376,1482156,156968,153338,437238,2415054,2710,5254382
2001,500935,126562,1511264,157838,168632,475056,2497401,2332,5435356
2002,501502,137027,1645197,166717,179709,514748,2624670,-7,5769577
2003,561458,149511,1813028,171650,187752,528911,2772060,3,6184367
2004,555214,153475,1948505,185574,202274,590421,2940297,2437,6573323
2005,554876,172119,2030366,204071,213358,629094,3049836,5130,6848590
2006,576656,187491,2145309,206505,217893,683847,3186571,15457,7188815
2007,587662,194235,2301302,214637,229647,735722,3336064,19731,7579538
2008,604896,206926,2355846,203208,241623,756011,3366662,24834,7710338
2009,603418,209493,2277673,210465,251493,748482,3363789,7724,7657089
2010,600655,224233,2537467,228357,268549,801568,3593687,22120,8232396
2011,638486,220689,2414065,218453,271106,835777,3732271,29288,8301559
2012,655758,237731,2581220,235806,298266,907473,4038077,51507,8902824
2013,660365,242847,2629739,235097,295928,970552,4181280,73721,9142087
2014,658463,238881,2630599,229387,304897,1009208,4250109,89456,9232088
2015,615883,244584,2670305,268505,321375,1075766,4466695,141687,9521426
2016,608753,246599,2730588,289919,332836,1119298,4690759,170250,9848502
2017,638106,231893,2809907,281274,341050,1189344,4959544,191177,10259941
2018,677010,225099,2907209,287681,350480,1259778,5203548,217600,10693205
2019,670375,228914,2882595,292174,367218,1341153,5401502,264612,10919319
2020,649198,208020,2729756,295932,342738,1184506,5077930,229384,10258696
2021,663776,200603,2857174,302539,346057,1205102,5081100,238423,10417928
2022,679846,175905,2894782,295438,358282,1282634,5279813,279950,10686750
2023,693717,173798,2815917,293521,374157,1359814,5503199,311741,10902382
2024,686354,189727,2802807,297330,395286,1457944,5694394,344341,11179501
